"행정구역","2022년03월_계_총인구수","2022년03월_계_연령구간인구수","2022년03월_계_0~9세","2022년03월_계_10~19세","2022년03월_계_20~29세","2022년03월_계_30~39세","2022년03월_계_40~49세","2022년03월_계_50~59세","2022년03월_계_60~69세","2022년03월_계_70~79세","2022년03월_계_80~89세","2022년03월_계_90~99세","2022년03월_계_100세 이상","2022년03월_남_총인구수","2022년03월_남_연령구간인구수","2022년03월_남_0~9세","2022년03월_남_10~19세","2022년03월_남_20~29세","2022년03월_남_30~39세","2022년03월_남_40~49세","2022년03월_남_50~59세","2022년03월_남_60~69세","2022년03월_남_70~79세","2022년03월_남_80~89세","2022년03월_남_90~99세","2022년03월_남_100세 이상","2022년03월_여_총인구수","2022년03월_여_연령구간인구수","2022년03월_여_0~9세","2022년03월_여_10~19세","2022년03월_여_20~29세","2022년03월_여_30~39세","2022년03월_여_40~49세","2022년03월_여_50~59세","2022년03월_여_60~69세","2022년03월_여_70~79세","2022년03월_여_80~89세","2022년03월_여_90~99세","2022년03월_여_100세 이상"
"전라북도  (4500000000)","1,782,205","1,782,205","117,031","168,806","204,092","179,705","258,952","299,346","270,226","169,224","99,211","15,197","415","886,928","886,928","60,015","87,441","110,688","92,988","132,851","155,603","133,879","76,189","33,856","3,361","57","895,277","895,277","57,016","81,365","93,404","86,717","126,101","143,743","136,347","93,035","65,355","11,836","358"
"전라북도 전주시 (4511000000)","655,879","655,879","50,394","69,747","91,521","80,240","104,757","107,696","81,736","44,912","21,681","3,122","73","322,705","322,705","25,806","36,037","48,172","40,689","51,231","53,099","38,762","20,148","8,020","731","10","333,174","333,174","24,588","33,710","43,349","39,551","53,526","54,597","42,974","24,764","13,661","2,391","63"
"전라북도 전주시 완산구 (4511100000)","334,531","334,531","22,555","34,194","48,019","38,818","51,056","57,377","44,670","24,355","11,678","1,766","43","162,897","162,897","11,605","17,803","24,972","19,714","24,486","27,769","20,938","10,943","4,254","407","6","171,634","171,634","10,950","16,391","23,047","19,104","26,570","29,608","23,732","13,412","7,424","1,359","37"
"전라북도 전주시 덕진구 (4511300000)","321,348","321,348","27,839","35,553","43,502","41,422","53,701","50,319","37,066","20,557","10,003","1,356","30","159,808","159,808","14,201","18,234","23,200","20,975","26,745","25,330","17,824","9,205","3,766","324","4","161,540","161,540","13,638","17,319","20,302","20,447","26,956","24,989","19,242","11,352","6,237","1,032","26"
"전라북도 군산시 (4513000000)","264,656","264,656","19,049","25,965","28,640","28,428","42,560","44,436","39,297","23,350","11,116","1,775","40","133,921","133,921","9,678","13,436","15,810","14,907","22,255","23,394","19,425","10,742","3,898","371","5","130,735","130,735","9,371","12,529","12,830","13,521","20,305","21,042","19,872","12,608","7,218","1,404","35"
"전라북도 익산시 (4514000000)","277,151","277,151","17,080","26,746","34,748","27,007","40,032","48,477","42,656","24,699","13,483","2,174","49","138,050","138,050","8,758","13,722","18,925","14,145","20,473","24,712","21,111","11,198","4,525","473","8","139,101","139,101","8,322","13,024","15,823","12,862","19,559","23,765","21,545","13,501","8,958","1,701","41"
"전라북도 정읍시 (4518000000)","106,187","106,187","5,711","9,090","10,116","8,245","13,969","18,178","17,875","12,918","8,742","1,300","43","52,787","52,787","2,934","4,796","5,640","4,429","7,312","9,794","8,984","5,704","2,919","267","8","53,400","53,400","2,777","4,294","4,476","3,816","6,657","8,384","8,891","7,214","5,823","1,033","35"
"전라북도 남원시 (4519000000)","79,015","79,015","4,497","7,004","7,131","5,966","10,001","13,573","13,608","9,543","6,602","1,062","28","38,793","38,793","2,378","3,635","3,963","3,096","5,048","7,284","6,842","4,129","2,166","249","3","40,222","40,222","2,119","3,369","3,168","2,870","4,953","6,289","6,766","5,414","4,436","813","25"
"전라북도 김제시 (4521000000)","80,806","80,806","3,787","6,025","6,845","6,094","9,527","13,213","15,197","11,038","7,747","1,297","36","40,162","40,162","1,975","3,067","3,831","3,260","5,270","7,323","7,742","4,934","2,458","294","8","40,644","40,644","1,812","2,958","3,014","2,834","4,257","5,890","7,455","6,104","5,289","1,003","28"
"전라북도 완주군 (4571000000)","91,041","91,041","6,204","8,156","8,600","8,757","13,216","15,330","14,971","9,225","5,667","894","21","46,813","46,813","3,100","4,284","4,858","4,532","7,169","8,537","7,827","4,347","1,956","198","5","44,228","44,228","3,104","3,872","3,742","4,225","6,047","6,793","7,144","4,878","3,711","696","16"
"전라북도 진안군 (4572000000)","24,961","24,961","1,104","1,599","1,769","1,485","2,516","4,400","5,290","3,705","2,688","394","11","12,674","12,674","541","856","1,016","735","1,455","2,480","2,854","1,741","914","82","0","12,287","12,287","563","743","753","750","1,061","1,920","2,436","1,964","1,774","312","11"
"전라북도 무주군 (4573000000)","23,745","23,745","1,037","1,762","1,669","1,589","2,698","4,121","4,725","3,218","2,555","349","22","11,844","11,844","554","886","926","885","1,483","2,284","2,479","1,380","886","79","2","11,901","11,901","483","876","743","704","1,215","1,837","2,246","1,838","1,669","270","20"
"전라북도 장수군 (4574000000)","21,645","21,645","1,016","1,586","1,535","1,371","2,398","3,632","4,394","3,066","2,311","325","11","10,810","10,810","526","807","882","706","1,360","2,043","2,261","1,405","734","85","1","10,835","10,835","490","779","653","665","1,038","1,589","2,133","1,661","1,577","240","10"
"전라북도 임실군 (4575000000)","26,664","26,664","1,251","1,542","1,839","1,783","2,610","4,530","5,297","4,135","3,170","490","17","13,648","13,648","643","824","1,087","967","1,574","2,597","2,874","1,889","1,071","119","3","13,016","13,016","608","718","752","816","1,036","1,933","2,423","2,246","2,099","371","14"
"전라북도 순창군 (4577000000)","26,689","26,689","1,214","2,135","1,853","1,699","3,056","4,412","5,082","3,876","2,923","421","18","13,096","13,096","636","1,096","1,064","849","1,692","2,414","2,645","1,644","941","114","1","13,593","13,593","578","1,039","789","850","1,364","1,998","2,437","2,232","1,982","307","17"
"전라북도 고창군 (4579000000)","53,151","53,151","2,409","3,973","3,924","3,500","5,840","8,796","10,128","7,958","5,681","914","28","26,414","26,414","1,282","2,168","2,275","1,881","3,313","4,885","5,063","3,570","1,809","167","1","26,737","26,737","1,127","1,805","1,649","1,619","2,527","3,911","5,065","4,388","3,872","747","27"
"전라북도 부안군 (4580000000)","50,615","50,615","2,278","3,476","3,902","3,541","5,772","8,552","9,970","7,581","4,845","680","18","25,211","25,211","1,204","1,827","2,239","1,907","3,216","4,757","5,010","3,358","1,559","132","2","25,404","25,404","1,074","1,649","1,663","1,634","2,556","3,795","4,960","4,223","3,286","548","16"
